原字,类型,前加字,上加字,基字,下加字,再下加字,元音,后加字,再后加字
ཀ,藏文字符,,,ཀ,,,,,
ཀི,藏文字符,,,ཀ,,,ི,,
ཀུ,藏文字符,,,ཀ,,,ུ,,
ཀེ,藏文字符,,,ཀ,,,ེ,,
ཀོ,藏文字符,,,ཀ,,,ོ,,
ཁ,藏文字符,,,ཁ,,,,,
ཁི,藏文字符,,,ཁ,,,ི,,
ཁུ,藏文字符,,,ཁ,,,ུ,,
ཁེ,藏文字符,,,ཁ,,,ེ,,
ཁོ,藏文字符,,,ཁ,,,ོ,,
ག,藏文字符,,,ག,,,,,
གི,藏文字符,,,ག,,,ི,,
གུ,藏文字符,,,ག,,,ུ,,
གེ,藏文字符,,,ག,,,ེ,,
གོ,藏文字符,,,ག,,,ོ,,
ང,藏文字符,,,ང,,,,,
ངི,藏文字符,,,ང,,,ི,,
ངུ,藏文字符,,,ང,,,ུ,,
ངེ,藏文字符,,,ང,,,ེ,,
ངོ,藏文字符,,,ང,,,ོ,,
ཅ,藏文字符,,,ཅ,,,,,
ཅི,藏文字符,,,ཅ,,,ི,,
ཅུ,藏文字符,,,ཅ,,,ུ,,
ཅེ,藏文字符,,,ཅ,,,ེ,,
ཅོ,藏文字符,,,ཅ,,,ོ,,
ཆ,藏文字符,,,ཆ,,,,,
ཆི,藏文字符,,,ཆ,,,ི,,
ཆུ,藏文字符,,,ཆ,,,ུ,,
ཆེ,藏文字符,,,ཆ,,,ེ,,
ཆོ,藏文字符,,,ཆ,,,ོ,,
ཇ,藏文字符,,,ཇ,,,,,
ཇི,藏文字符,,,ཇ,,,ི,,
ཇུ,藏文字符,,,ཇ,,,ུ,,
ཇེ,藏文字符,,,ཇ,,,ེ,,
ཇོ,藏文字符,,,ཇ,,,ོ,,
ཉ,藏文字符,,,ཉ,,,,,
ཉི,藏文字符,,,ཉ,,,ི,,
ཉུ,藏文字符,,,ཉ,,,ུ,,
ཉེ,藏文字符,,,ཉ,,,ེ,,
ཉོ,藏文字符,,,ཉ,,,ོ,,
ཏ,藏文字符,,,ཏ,,,,,
ཏི,藏文字符,,,ཏ,,,ི,,
ཏུ,藏文字符,,,ཏ,,,ུ,,
ཏེ,藏文字符,,,ཏ,,,ེ,,
ཏོ,藏文字符,,,ཏ,,,ོ,,
ཐ,藏文字符,,,ཐ,,,,,
ཐི,藏文字符,,,ཐ,,,ི,,
ཐུ,藏文字符,,,ཐ,,,ུ,,
ཐེ,藏文字符,,,ཐ,,,ེ,,
ཐོ,藏文字符,,,ཐ,,,ོ,,
ད,藏文字符,,,ད,,,,,
དི,藏文字符,,,ད,,,ི,,
དུ,藏文字符,,,ད,,,ུ,,
དེ,藏文字符,,,ད,,,ེ,,
དོ,藏文字符,,,ད,,,ོ,,
ན,藏文字符,,,ན,,,,,
ནི,藏文字符,,,ན,,,ི,,
ནུ,藏文字符,,,ན,,,ུ,,
ནེ,藏文字符,,,ན,,,ེ,,
ནོ,藏文字符,,,ན,,,ོ,,
པ,藏文字符,,,པ,,,,,
པི,藏文字符,,,པ,,,ི,,
པུ,藏文字符,,,པ,,,ུ,,
པེ,藏文字符,,,པ,,,ེ,,
པོ,藏文字符,,,པ,,,ོ,,
ཕ,藏文字符,,,ཕ,,,,,
ཕི,藏文字符,,,ཕ,,,ི,,
ཕུ,藏文字符,,,ཕ,,,ུ,,
ཕེ,藏文字符,,,ཕ,,,ེ,,
ཕོ,藏文字符,,,ཕ,,,ོ,,
བ,藏文字符,,,བ,,,,,
བི,藏文字符,,,བ,,,ི,,
བུ,藏文字符,,,བ,,,ུ,,
བེ,藏文字符,,,བ,,,ེ,,
བོ,藏文字符,,,བ,,,ོ,,
མ,藏文字符,,,མ,,,,,
མི,藏文字符,,,མ,,,ི,,
མུ,藏文字符,,,མ,,,ུ,,
མེ,藏文字符,,,མ,,,ེ,,
མོ,藏文字符,,,མ,,,ོ,,
ཙ,藏文字符,,,ཙ,,,,,
ཙི,藏文字符,,,ཙ,,,ི,,
ཙུ,藏文字符,,,ཙ,,,ུ,,
ཙེ,藏文字符,,,ཙ,,,ེ,,
ཙོ,藏文字符,,,ཙ,,,ོ,,
ཚ,藏文字符,,,ཚ,,,,,
ཚི,藏文字符,,,ཚ,,,ི,,
ཚུ,藏文字符,,,ཚ,,,ུ,,
ཚེ,藏文字符,,,ཚ,,,ེ,,
ཚོ,藏文字符,,,ཚ,,,ོ,,
ཛ,藏文字符,,,ཛ,,,,,
ཛི,藏文字符,,,ཛ,,,ི,,
ཛུ,藏文字符,,,ཛ,,,ུ,,
ཛེ,藏文字符,,,ཛ,,,ེ,,
ཛོ,藏文字符,,,ཛ,,,ོ,,
ཝ,藏文字符,,,ཝ,,,,,
ཝི,藏文字符,,,ཝ,,,ི,,
ཝུ,藏文字符,,,ཝ,,,ུ,,
ཝེ,藏文字符,,,ཝ,,,ེ,,
ཝོ,藏文字符,,,ཝ,,,ོ,,
ཞ,藏文字符,,,ཞ,,,,,
ཞི,藏文字符,,,ཞ,,,ི,,
ཞུ,藏文字符,,,ཞ,,,ུ,,
ཞེ,藏文字符,,,ཞ,,,ེ,,
ཞོ,藏文字符,,,ཞ,,,ོ,,
ཟ,藏文字符,,,ཟ,,,,,
ཟི,藏文字符,,,ཟ,,,ི,,
ཟུ,藏文字符,,,ཟ,,,ུ,,
ཟེ,藏文字符,,,ཟ,,,ེ,,
ཟོ,藏文字符,,,ཟ,,,ོ,,
འ,藏文字符,,,འ,,,,,
འི,藏文字符,,,འ,,,ི,,
འུ,藏文字符,,,འ,,,ུ,,
འེ,藏文字符,,,འ,,,ེ,,
འོ,藏文字符,,,འ,,,ོ,,
ཡ,藏文字符,,,ཡ,,,,,
ཡི,藏文字符,,,ཡ,,,ི,,
ཡུ,藏文字符,,,ཡ,,,ུ,,
ཡེ,藏文字符,,,ཡ,,,ེ,,
ཡོ,藏文字符,,,ཡ,,,ོ,,
ར,藏文字符,,,ར,,,,,
རི,藏文字符,,,ར,,,ི,,
རུ,藏文字符,,,ར,,,ུ,,
རེ,藏文字符,,,ར,,,ེ,,
རོ,藏文字符,,,ར,,,ོ,,
ལ,藏文字符,,,ལ,,,,,
ལི,藏文字符,,,ལ,,,ི,,
ལུ,藏文字符,,,ལ,,,ུ,,
ལེ,藏文字符,,,ལ,,,ེ,,
ལོ,藏文字符,,,ལ,,,ོ,,
ཤ,藏文字符,,,ཤ,,,,,
ཤི,藏文字符,,,ཤ,,,ི,,
ཤུ,藏文字符,,,ཤ,,,ུ,,
ཤེ,藏文字符,,,ཤ,,,ེ,,
ཤོ,藏文字符,,,ཤ,,,ོ,,
ས,藏文字符,,,ས,,,,,
སི,藏文字符,,,ས,,,ི,,
སུ,藏文字符,,,ས,,,ུ,,
སེ,藏文字符,,,ས,,,ེ,,
སོ,藏文字符,,,ས,,,ོ,,
ཧ,藏文字符,,,ཧ,,,,,
ཧི,藏文字符,,,ཧ,,,ི,,
ཧུ,藏文字符,,,ཧ,,,ུ,,
ཧེ,藏文字符,,,ཧ,,,ེ,,
ཧོ,藏文字符,,,ཧ,,,ོ,,
ཨ,藏文字符,,,ཨ,,,,,
ཨི,藏文字符,,,ཨ,,,ི,,
ཨུ,藏文字符,,,ཨ,,,ུ,,
ཨེ,藏文字符,,,ཨ,,,ེ,,
ཨོ,藏文字符,,,ཨ,,,ོ,,
རྐ,藏文字符,,ར,ྐ,,,,,
རྐི,藏文字符,,ར,ྐ,,,ི,,
རྐུ,藏文字符,,ར,ྐ,,,ུ,,
རྐེ,藏文字符,,ར,ྐ,,,ེ,,
རྐོ,藏文字符,,ར,ྐ,,,ོ,,
རྒ,藏文字符,,ར,ྒ,,,,,
རྒི,藏文字符,,ར,ྒ,,,ི,,
རྒུ,藏文字符,,ར,ྒ,,,ུ,,
རྒེ,藏文字符,,ར,ྒ,,,ེ,,
རྒོ,藏文字符,,ར,ྒ,,,ོ,,
རྔ,藏文字符,,ར,ྔ,,,,,
རྔི,藏文字符,,ར,ྔ,,,ི,,
རྔུ,藏文字符,,ར,ྔ,,,ུ,,
རྔེ,藏文字符,,ར,ྔ,,,ེ,,
རྔོ,藏文字符,,ར,ྔ,,,ོ,,
རྗ,藏文字符,,ར,ྗ,,,,,
རྗི,藏文字符,,ར,ྗ,,,ི,,
རྗུ,藏文字符,,ར,ྗ,,,ུ,,
རྗེ,藏文字符,,ར,ྗ,,,ེ,,
རྗོ,藏文字符,,ར,ྗ,,,ོ,,
རྙ,藏文字符,,ར,ྙ,,,,,
རྙི,藏文字符,,ར,ྙ,,,ི,,
རྙུ,藏文字符,,ར,ྙ,,,ུ,,
རྙེ,藏文字符,,ར,ྙ,,,ེ,,
རྙོ,藏文字符,,ར,ྙ,,,ོ,,
རྟ,藏文字符,,ར,ྟ,,,,,
རྟི,藏文字符,,ར,ྟ,,,ི,,
རྟུ,藏文字符,,ར,ྟ,,,ུ,,
རྟེ,藏文字符,,ར,ྟ,,,ེ,,
རྟོ,藏文字符,,ར,ྟ,,,ོ,,
རྡ,藏文字符,,ར,ྡ,,,,,
རྡི,藏文字符,,ར,ྡ,,,ི,,
རྡུ,藏文字符,,ར,ྡ,,,ུ,,
རྡེ,藏文字符,,ར,ྡ,,,ེ,,
རྡོ,藏文字符,,ར,ྡ,,,ོ,,
རྣ,藏文字符,,ར,ྣ,,,,,
རྣི,藏文字符,,ར,ྣ,,,ི,,
རྣུ,藏文字符,,ར,ྣ,,,ུ,,
རྣེ,藏文字符,,ར,ྣ,,,ེ,,
རྣོ,藏文字符,,ར,ྣ,,,ོ,,
རྦ,藏文字符,,ར,ྦ,,,,,
རྦི,藏文字符,,ར,ྦ,,,ི,,
རྦུ,藏文字符,,ར,ྦ,,,ུ,,
རྦེ,藏文字符,,ར,ྦ,,,ེ,,
རྦོ,藏文字符,,ར,ྦ,,,ོ,,
རྨ,藏文字符,,ར,ྨ,,,,,
རྨི,藏文字符,,ར,ྨ,,,ི,,
རྨུ,藏文字符,,ར,ྨ,,,ུ,,
རྨེ,藏文字符,,ར,ྨ,,,ེ,,
རྨོ,藏文字符,,ར,ྨ,,,ོ,,
རྩ,藏文字符,,ར,ྩ,,,,,
རྩི,藏文字符,,ར,ྩ,,,ི,,
རྩུ,藏文字符,,ར,ྩ,,,ུ,,
རྩེ,藏文字符,,ར,ྩ,,,ེ,,
རྩོ,藏文字符,,ར,ྩ,,,ོ,,
རྫ,藏文字符,,ར,ྫ,,,,,
རྫི,藏文字符,,ར,ྫ,,,ི,,
རྫུ,藏文字符,,ར,ྫ,,,ུ,,
རྫེ,藏文字符,,ར,ྫ,,,ེ,,
རྫོ,藏文字符,,ར,ྫ,,,ོ,,
ལྐ,藏文字符,,ལ,ྐ,,,,,
ལྐི,藏文字符,,ལ,ྐ,,,ི,,
ལྐུ,藏文字符,,ལ,ྐ,,,ུ,,
ལྐེ,藏文字符,,ལ,ྐ,,,ེ,,
ལྐོ,藏文字符,,ལ,ྐ,,,ོ,,
ལྒ,藏文字符,,ལ,ྒ,,,,,
ལྒི,藏文字符,,ལ,ྒ,,,ི,,
ལྒུ,藏文字符,,ལ,ྒ,,,ུ,,
ལྒེ,藏文字符,,ལ,ྒ,,,ེ,,
ལྒོ,藏文字符,,ལ,ྒ,,,ོ,,
ལྔ,藏文字符,,ལ,ྔ,,,,,
ལྔི,藏文字符,,ལ,ྔ,,,ི,,
ལྔུ,藏文字符,,ལ,ྔ,,,ུ,,
ལྔེ,藏文字符,,ལ,ྔ,,,ེ,,
ལྔོ,藏文字符,,ལ,ྔ,,,ོ,,
ལྕ,藏文字符,,ལ,ྕ,,,,,
ལྕི,藏文字符,,ལ,ྕ,,,ི,,
ལྕུ,藏文字符,,ལ,ྕ,,,ུ,,
ལྕེ,藏文字符,,ལ,ྕ,,,ེ,,
ལྕོ,藏文字符,,ལ,ྕ,,,ོ,,
ལྗ,藏文字符,,ལ,ྗ,,,,,
ལྗི,藏文字符,,ལ,ྗ,,,ི,,
ལྗུ,藏文字符,,ལ,ྗ,,,ུ,,
ལྗེ,藏文字符,,ལ,ྗ,,,ེ,,
ལྗོ,藏文字符,,ལ,ྗ,,,ོ,,
ལྟ,藏文字符,,ལ,ྟ,,,,,
ལྟི,藏文字符,,ལ,ྟ,,,ི,,
ལྟུ,藏文字符,,ལ,ྟ,,,ུ,,
ལྟེ,藏文字符,,ལ,ྟ,,,ེ,,
ལྟོ,藏文字符,,ལ,ྟ,,,ོ,,
ལྡ,藏文字符,,ལ,ྡ,,,,,
ལྡི,藏文字符,,ལ,ྡ,,,ི,,
ལྡུ,藏文字符,,ལ,ྡ,,,ུ,,
ལྡེ,藏文字符,,ལ,ྡ,,,ེ,,
ལྡོ,藏文字符,,ལ,ྡ,,,ོ,,
ལྤ,藏文字符,,ལ,ྤ,,,,,
ལྤི,藏文字符,,ལ,ྤ,,,ི,,
ལྤུ,藏文字符,,ལ,ྤ,,,ུ,,
ལྤེ,藏文字符,,ལ,ྤ,,,ེ,,
ལྤོ,藏文字符,,ལ,ྤ,,,ོ,,
ལྦ,藏文字符,,ལ,ྦ,,,,,
ལྦི,藏文字符,,ལ,ྦ,,,ི,,
ལྦུ,藏文字符,,ལ,ྦ,,,ུ,,
ལྦེ,藏文字符,,ལ,ྦ,,,ེ,,
ལྦོ,藏文字符,,ལ,ྦ,,,ོ,,
ལྷ,藏文字符,,ལ,ྷ,,,,,
ལྷི,藏文字符,,ལ,ྷ,,,ི,,
ལྷུ,藏文字符,,ལ,ྷ,,,ུ,,
ལྷེ,藏文字符,,ལ,ྷ,,,ེ,,
ལྷོ,藏文字符,,ལ,ྷ,,,ོ,,
སྐ,藏文字符,,ས,ྐ,,,,,
སྐི,藏文字符,,ས,ྐ,,,ི,,
སྐུ,藏文字符,,ས,ྐ,,,ུ,,
སྐེ,藏文字符,,ས,ྐ,,,ེ,,
སྐོ,藏文字符,,ས,ྐ,,,ོ,,
སྒ,藏文字符,,ས,ྒ,,,,,
སྒི,藏文字符,,ས,ྒ,,,ི,,
སྒུ,藏文字符,,ས,ྒ,,,ུ,,
སྒེ,藏文字符,,ས,ྒ,,,ེ,,
སྒོ,藏文字符,,ས,ྒ,,,ོ,,
སྔ,藏文字符,,ས,ྔ,,,,,
སྔི,藏文字符,,ས,ྔ,,,ི,,
སྔུ,藏文字符,,ས,ྔ,,,ུ,,
སྔེ,藏文字符,,ས,ྔ,,,ེ,,
སྔོ,藏文字符,,ས,ྔ,,,ོ,,
སྙ,藏文字符,,ས,ྙ,,,,,
སྙི,藏文字符,,ས,ྙ,,,ི,,
སྙུ,藏文字符,,ས,ྙ,,,ུ,,
སྙེ,藏文字符,,ས,ྙ,,,ེ,,
སྙོ,藏文字符,,ས,ྙ,,,ོ,,
སྟ,藏文字符,,ས,ྟ,,,,,
སྟི,藏文字符,,ས,ྟ,,,ི,,
སྟུ,藏文字符,,ས,ྟ,,,ུ,,
སྟེ,藏文字符,,ས,ྟ,,,ེ,,
སྟོ,藏文字符,,ས,ྟ,,,ོ,,
སྡ,藏文字符,,ས,ྡ,,,,,
སྡི,藏文字符,,ས,ྡ,,,ི,,
སྡུ,藏文字符,,ས,ྡ,,,ུ,,
སྡེ,藏文字符,,ས,ྡ,,,ེ,,
སྡོ,藏文字符,,ས,ྡ,,,ོ,,
སྣ,藏文字符,,ས,ྣ,,,,,
སྣི,藏文字符,,ས,ྣ,,,ི,,
སྣུ,藏文字符,,ས,ྣ,,,ུ,,
སྣེ,藏文字符,,ས,ྣ,,,ེ,,
སྣོ,藏文字符,,ས,ྣ,,,ོ,,
སྤ,藏文字符,,ས,ྤ,,,,,
སྤི,藏文字符,,ས,ྤ,,,ི,,
སྤུ,藏文字符,,ས,ྤ,,,ུ,,
སྤེ,藏文字符,,ས,ྤ,,,ེ,,
སྤོ,藏文字符,,ས,ྤ,,,ོ,,
སྦ,藏文字符,,ས,ྦ,,,,,
སྦི,藏文字符,,ས,ྦ,,,ི,,
སྦུ,藏文字符,,ས,ྦ,,,ུ,,
སྦེ,藏文字符,,ས,ྦ,,,ེ,,
སྦོ,藏文字符,,ས,ྦ,,,ོ,,
སྨ,藏文字符,,ས,ྨ,,,,,
སྨི,藏文字符,,ས,ྨ,,,ི,,
སྨུ,藏文字符,,ས,ྨ,,,ུ,,
སྨེ,藏文字符,,ས,ྨ,,,ེ,,
སྨོ,藏文字符,,ས,ྨ,,,ོ,,
སྩ,藏文字符,,ས,ྩ,,,,,
སྩི,藏文字符,,ས,ྩ,,,ི,,
སྩུ,藏文字符,,ས,ྩ,,,ུ,,
སྩེ,藏文字符,,ས,ྩ,,,ེ,,
སྩོ,藏文字符,,ས,ྩ,,,ོ,,
ཀྱ,藏文字符,,,ཀ,ྱ,,,,
ཀྱི,藏文字符,,,ཀ,ྱ,,ི,,
ཀྱུ,藏文字符,,,ཀ,ྱ,,ུ,,
ཀྱེ,藏文字符,,,ཀ,ྱ,,ེ,,
ཀྱོ,藏文字符,,,ཀ,ྱ,,ོ,,
ཁྱ,藏文字符,,,ཁ,ྱ,,,,
ཁྱི,藏文字符,,,ཁ,ྱ,,ི,,
ཁྱུ,藏文字符,,,ཁ,ྱ,,ུ,,
ཁྱེ,藏文字符,,,ཁ,ྱ,,ེ,,
ཁྱོ,藏文字符,,,ཁ,ྱ,,ོ,,
གྱ,藏文字符,,,ག,ྱ,,,,
གྱི,藏文字符,,,ག,ྱ,,ི,,
གྱུ,藏文字符,,,ག,ྱ,,ུ,,
གྱེ,藏文字符,,,ག,ྱ,,ེ,,
གྱོ,藏文字符,,,ག,ྱ,,ོ,,
པྱ,藏文字符,,,པ,ྱ,,,,
པྱི,藏文字符,,,པ,ྱ,,ི,,
པྱུ,藏文字符,,,པ,ྱ,,ུ,,
པྱེ,藏文字符,,,པ,ྱ,,ེ,,
པྱོ,藏文字符,,,པ,ྱ,,ོ,,
ཕྱ,藏文字符,,,ཕ,ྱ,,,,
ཕྱི,藏文字符,,,ཕ,ྱ,,ི,,
ཕྱུ,藏文字符,,,ཕ,ྱ,,ུ,,
ཕྱེ,藏文字符,,,ཕ,ྱ,,ེ,,
ཕྱོ,藏文字符,,,ཕ,ྱ,,ོ,,
བྱ,藏文字符,,,བ,ྱ,,,,
བྱི,藏文字符,,,བ,ྱ,,ི,,
བྱུ,藏文字符,,,བ,ྱ,,ུ,,
བྱེ,藏文字符,,,བ,ྱ,,ེ,,
བྱོ,藏文字符,,,བ,ྱ,,ོ,,
མྱ,藏文字符,,,མ,ྱ,,,,
མྱི,藏文字符,,,མ,ྱ,,ི,,
མྱུ,藏文字符,,,མ,ྱ,,ུ,,
མྱེ,藏文字符,,,མ,ྱ,,ེ,,
མྱོ,藏文字符,,,མ,ྱ,,ོ,,
ཀྲ,藏文字符,,,ཀ,ྲ,,,,
ཀྲི,藏文字符,,,ཀ,ྲ,,ི,,
ཀྲུ,藏文字符,,,ཀ,ྲ,,ུ,,
ཀྲེ,藏文字符,,,ཀ,ྲ,,ེ,,
ཀྲོ,藏文字符,,,ཀ,ྲ,,ོ,,
ཁྲ,藏文字符,,,ཁ,ྲ,,,,
ཁྲི,藏文字符,,,ཁ,ྲ,,ི,,
ཁྲུ,藏文字符,,,ཁ,ྲ,,ུ,,
ཁྲེ,藏文字符,,,ཁ,ྲ,,ེ,,
ཁྲོ,藏文字符,,,ཁ,ྲ,,ོ,,
གྲ,藏文字符,,,ག,ྲ,,,,
གྲི,藏文字符,,,ག,ྲ,,ི,,
གྲུ,藏文字符,,,ག,ྲ,,ུ,,
གྲེ,藏文字符,,,ག,ྲ,,ེ,,
གྲོ,藏文字符,,,ག,ྲ,,ོ,,
ཏྲ,藏文字符,,,ཏ,ྲ,,,,
ཏྲི,藏文字符,,,ཏ,ྲ,,ི,,
ཏྲུ,藏文字符,,,ཏ,ྲ,,ུ,,
ཏྲེ,藏文字符,,,ཏ,ྲ,,ེ,,
ཏྲོ,藏文字符,,,ཏ,ྲ,,ོ,,
ཐྲ,藏文字符,,,ཐ,ྲ,,,,
ཐྲི,藏文字符,,,ཐ,ྲ,,ི,,
ཐྲུ,藏文字符,,,ཐ,ྲ,,ུ,,
ཐྲེ,藏文字符,,,ཐ,ྲ,,ེ,,
ཐྲོ,藏文字符,,,ཐ,ྲ,,ོ,,
དྲ,藏文字符,,,ད,ྲ,,,,
དྲི,藏文字符,,,ད,ྲ,,ི,,
དྲུ,藏文字符,,,ད,ྲ,,ུ,,
དྲེ,藏文字符,,,ད,ྲ,,ེ,,
དྲོ,藏文字符,,,ད,ྲ,,ོ,,
པྲ,藏文字符,,,པ,ྲ,,,,
པྲི,藏文字符,,,པ,ྲ,,ི,,
པྲུ,藏文字符,,,པ,ྲ,,ུ,,
པྲེ,藏文字符,,,པ,ྲ,,ེ,,
པྲོ,藏文字符,,,པ,ྲ,,ོ,,
ཕྲ,藏文字符,,,ཕ,ྲ,,,,
ཕྲི,藏文字符,,,ཕ,ྲ,,ི,,
ཕྲུ,藏文字符,,,ཕ,ྲ,,ུ,,
ཕྲེ,藏文字符,,,ཕ,ྲ,,ེ,,
ཕྲོ,藏文字符,,,ཕ,ྲ,,ོ,,
བྲ,藏文字符,,,བ,ྲ,,,,
བྲི,藏文字符,,,བ,ྲ,,ི,,
བྲུ,藏文字符,,,བ,ྲ,,ུ,,
བྲེ,藏文字符,,,བ,ྲ,,ེ,,
བྲོ,藏文字符,,,བ,ྲ,,ོ,,
སྲ,藏文字符,,,ས,ྲ,,,,
སྲི,藏文字符,,,ས,ྲ,,ི,,
སྲུ,藏文字符,,,ས,ྲ,,ུ,,
སྲེ,藏文字符,,,ས,ྲ,,ེ,,
སྲོ,藏文字符,,,ས,ྲ,,ོ,,
ཧྲ,藏文字符,,,ཧ,ྲ,,,,
ཧྲི,藏文字符,,,ཧ,ྲ,,ི,,
ཧྲུ,藏文字符,,,ཧ,ྲ,,ུ,,
ཧྲེ,藏文字符,,,ཧ,ྲ,,ེ,,
ཧྲོ,藏文字符,,,ཧ,ྲ,,ོ,,
ཀླ,藏文字符,,,ཀ,ླ,,,,
ཀླི,藏文字符,,,ཀ,ླ,,ི,,
ཀླུ,藏文字符,,,ཀ,ླ,,ུ,,
ཀླེ,藏文字符,,,ཀ,ླ,,ེ,,
ཀློ,藏文字符,,,ཀ,ླ,,ོ,,
གླ,藏文字符,,,ག,ླ,,,,
གླི,藏文字符,,,ག,ླ,,ི,,
གླུ,藏文字符,,,ག,ླ,,ུ,,
གླེ,藏文字符,,,ག,ླ,,ེ,,
གློ,藏文字符,,,ག,ླ,,ོ,,
བླ,藏文字符,,,བ,ླ,,,,
བླི,藏文字符,,,བ,ླ,,ི,,
བླུ,藏文字符,,,བ,ླ,,ུ,,
བླེ,藏文字符,,,བ,ླ,,ེ,,
བློ,藏文字符,,,བ,ླ,,ོ,,
ཟླ,藏文字符,,,ཟ,ླ,,,,
ཟླི,藏文字符,,,ཟ,ླ,,ི,,
ཟླུ,藏文字符,,,ཟ,ླ,,ུ,,
ཟླེ,藏文字符,,,ཟ,ླ,,ེ,,
ཟློ,藏文字符,,,ཟ,ླ,,ོ,,
རླ,藏文字符,,,ར,ླ,,,,
རླི,藏文字符,,,ར,ླ,,ི,,
རླུ,藏文字符,,,ར,ླ,,ུ,,
རླེ,藏文字符,,,ར,ླ,,ེ,,
རློ,藏文字符,,,ར,ླ,,ོ,,
སླ,藏文字符,,,ས,ླ,,,,
སླི,藏文字符,,,ས,ླ,,ི,,
སླུ,藏文字符,,,ས,ླ,,ུ,,
སླེ,藏文字符,,,ས,ླ,,ེ,,
སློ,藏文字符,,,ས,ླ,,ོ,,
རྐྱ,藏文字符,,ར,ྐ,ྱ,,,,
རྐྱི,藏文字符,,ར,ྐ,ྱ,,ི,,
རྐྱུ,藏文字符,,ར,ྐ,ྱ,,ུ,,
རྐྱེ,藏文字符,,ར,ྐ,ྱ,,ེ,,
རྐྱོ,藏文字符,,ར,ྐ,ྱ,,ོ,,
རྒྱ,藏文字符,,ར,ྒ,ྱ,,,,
རྒྱི,藏文字符,,ར,ྒ,ྱ,,ི,,
རྒྱུ,藏文字符,,ར,ྒ,ྱ,,ུ,,
རྒྱེ,藏文字符,,ར,ྒ,ྱ,,ེ,,
རྒྱོ,藏文字符,,ར,ྒ,ྱ,,ོ,,
རྨྱ,藏文字符,,ར,ྨ,ྱ,,,,
རྨྱི,藏文字符,,ར,ྨ,ྱ,,ི,,
རྨྱུ,藏文字符,,ར,ྨ,ྱ,,ུ,,
རྨྱེ,藏文字符,,ར,ྨ,ྱ,,ེ,,
རྨྱོ,藏文字符,,ར,ྨ,ྱ,,ོ,,
སྐྱ,藏文字符,,ས,ྐ,ྱ,,,,
སྐྱི,藏文字符,,ས,ྐ,ྱ,,ི,,
སྐྱུ,藏文字符,,ས,ྐ,ྱ,,ུ,,
སྐྱེ,藏文字符,,ས,ྐ,ྱ,,ེ,,
སྐྱོ,藏文字符,,ས,ྐ,ྱ,,ོ,,
སྒྱ,藏文字符,,ས,ྒ,ྱ,,,,
སྒྱི,藏文字符,,ས,ྒ,ྱ,,ི,,
སྒྱུ,藏文字符,,ས,ྒ,ྱ,,ུ,,
སྒྱེ,藏文字符,,ས,ྒ,ྱ,,ེ,,
སྒྱོ,藏文字符,,ས,ྒ,ྱ,,ོ,,
སྤྱ,藏文字符,,ས,ྤ,ྱ,,,,
སྤྱི,藏文字符,,ས,ྤ,ྱ,,ི,,
སྤྱུ,藏文字符,,ས,ྤ,ྱ,,ུ,,
སྤྱེ,藏文字符,,ས,ྤ,ྱ,,ེ,,
སྤྱོ,藏文字符,,ས,ྤ,ྱ,,ོ,,
སྦྱ,藏文字符,,ས,ྦ,ྱ,,,,
སྦྱི,藏文字符,,ས,ྦ,ྱ,,ི,,
སྦྱུ,藏文字符,,ས,ྦ,ྱ,,ུ,,
སྦྱེ,藏文字符,,ས,ྦ,ྱ,,ེ,,
སྦྱོ,藏文字符,,ས,ྦ,ྱ,,ོ,,
སྨྱ,藏文字符,,ས,ྨ,ྱ,,,,
སྨྱི,藏文字符,,ས,ྨ,ྱ,,ི,,
སྨྱུ,藏文字符,,ས,ྨ,ྱ,,ུ,,
སྨྱེ,藏文字符,,ས,ྨ,ྱ,,ེ,,
སྨྱོ,藏文字符,,ས,ྨ,ྱ,,ོ,,
སྐྲ,藏文字符,,ས,ྐ,ྲ,,,,
སྐྲི,藏文字符,,ས,ྐ,ྲ,,ི,,
སྐྲུ,藏文字符,,ས,ྐ,ྲ,,ུ,,
སྐྲེ,藏文字符,,ས,ྐ,ྲ,,ེ,,
སྐྲོ,藏文字符,,ས,ྐ,ྲ,,ོ,,
སྒྲ,藏文字符,,ས,ྒ,ྲ,,,,
སྒྲི,藏文字符,,ས,ྒ,ྲ,,ི,,
སྒྲུ,藏文字符,,ས,ྒ,ྲ,,ུ,,
སྒྲེ,藏文字符,,ས,ྒ,ྲ,,ེ,,
སྒྲོ,藏文字符,,ས,ྒ,ྲ,,ོ,,
སྤྲ,藏文字符,,ས,ྤ,ྲ,,,,
སྤྲི,藏文字符,,ས,ྤ,ྲ,,ི,,
སྤྲུ,藏文字符,,ས,ྤ,ྲ,,ུ,,
སྤྲེ,藏文字符,,ས,ྤ,ྲ,,ེ,,
སྤྲོ,藏文字符,,ས,ྤ,ྲ,,ོ,,
སྦྲ,藏文字符,,ས,ྦ,ྲ,,,,
སྦྲི,藏文字符,,ས,ྦ,ྲ,,ི,,
སྦྲུ,藏文字符,,ས,ྦ,ྲ,,ུ,,
སྦྲེ,藏文字符,,ས,ྦ,ྲ,,ེ,,
སྦྲོ,藏文字符,,ས,ྦ,ྲ,,ོ,,
སྨྲ,藏文字符,,ས,ྨ,ྲ,,,,
སྨྲི,藏文字符,,ས,ྨ,ྲ,,ི,,
